epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,134.966,1.1264,5.23554,0.57537,1.02266,1.48289,0.69619,0.81579,0.79726,0.4982,0.53387,0.57277,0.45742,0.10888,1.35015,5.13872,0.54559,2.09124,1.75463,0.0014654,0.0014654,0.0014654
29,138.939,1.22039,5.62955,0.57994,1.10773,1.59038,0.80803,0.76316,0.84505,0.46632,0.63486,0.55263,0.46341,0.11854,1.5436,5.09347,0.58136,1.32638,1.96285,0.0014456,0.0014456,0.0014456
30,146.372,1.12362,5.51415,0.59416,0.90814,1.45533,0.79542,0.73684,0.85462,0.55233,0.6255,0.47368,0.43633,0.12237,1.2293,4.95838,0.56293,1.47712,1.61205,0.0014258,0.0014258,0.0014258
31,150.306,1.11671,5.4559,0.57367,0.9766,1.44074,0.78015,0.71053,0.81541,0.55557,0.68993,0.52632,0.52302,0.14337,1.15788,4.81978,0.52749,1.38494,1.50242,0.001406,0.001406,0.001406
32,156.666,1.1246,5.20619,0.57466,0.98226,1.47422,0.72397,0.81579,0.8555,0.57043,0.79232,0.60526,0.63576,0.24354,1.22363,4.47715,0.51744,1.25209,1.57154,0.0013862,0.0013862,0.0013862
33,160.929,1.13831,5.44717,0.58589,0.97621,1.4498,0.88072,0.73684,0.88268,0.61778,0.72057,0.60526,0.64294,0.26219,1.14139,4.23869,0.50988,1.33085,1.4241,0.0013664,0.0013664,0.0013664
34,165.469,1.08923,5.19402,0.56997,0.93239,1.39591,0.89408,0.78947,0.90512,0.60212,0.82472,0.61933,0.64983,0.26467,1.26993,4.25946,0.48325,1.23436,1.53561,0.0013466,0.0013466,0.0013466
35,169.394,1.05457,4.98967,0.5799,0.89698,1.37695,0.87581,0.74245,0.88213,0.59805,0.82669,0.60526,0.67238,0.24859,1.21566,4.40034,0.48568,1.01089,1.53675,0.0013268,0.0013268,0.0013268
36,177.057,1.07573,5.19148,0.5693,0.91934,1.38829,0.94392,0.81579,0.92062,0.63268,0.79728,0.68421,0.69898,0.21793,1.24533,4.28206,0.48534,1.05874,1.50269,0.001307,0.001307,0.001307
37,184.482,1.05374,5.03455,0.57781,0.89539,1.39983,0.82363,0.92105,0.94266,0.69391,0.69912,0.73684,0.69254,0.25126,1.01571,4.22401,0.50244,0.91215,1.34567,0.0012872,0.0012872,0.0012872
38,188.778,1.00594,5.00578,0.56002,0.903,1.37165,0.941,0.83954,0.91775,0.66121,0.77995,0.71053,0.72257,0.26901,1.08249,4.15655,0.49677,1.03049,1.37617,0.0012674,0.0012674,0.0012674
39,192.803,1.03465,4.9357,0.56507,0.90305,1.42028,0.88953,0.81579,0.93253,0.61057,0.74031,0.65789,0.63225,0.23626,1.17764,3.99288,0.48433,0.83989,1.49791,0.0012476,0.0012476,0.0012476
40,196.7,1.04118,5.09322,0.55727,0.94464,1.40827,0.94465,0.84211,0.947,0.60933,0.68072,0.60526,0.55527,0.21139,1.21948,4.18998,0.4844,0.84721,1.58885,0.0012278,0.0012278,0.0012278
41,200.629,1.09409,4.89791,0.54649,0.91821,1.41574,0.94539,0.91125,0.97384,0.6671,0.82349,0.63158,0.65338,0.21467,1.01671,4.43747,0.48004,0.74283,1.37728,0.001208,0.001208,0.001208
42,205.914,1.00492,5.0683,0.56075,0.86322,1.35759,0.91994,0.92105,0.95039,0.68097,0.89289,0.6581,0.70435,0.30789,1.03524,3.9214,0.47592,0.82922,1.41449,0.0011882,0.0011882,0.0011882
43,211.68,0.96489,4.65801,0.5578,0.85641,1.32617,0.93927,0.89474,0.95509,0.67814,0.89623,0.68194,0.72287,0.29006,1.07609,4.05321,0.484,0.85738,1.42504,0.0011684,0.0011684,0.0011684
44,219.622,1.00804,4.94903,0.55109,0.82701,1.37398,0.90354,0.89474,0.94493,0.71633,0.79812,0.63158,0.65425,0.23623,1.0523,4.09066,0.48401,0.82847,1.36576,0.0011486,0.0011486,0.0011486
45,225.643,0.96669,4.49759,0.55964,0.82134,1.3183,0.9347,0.92105,0.95969,0.71834,0.7721,0.76316,0.744,0.32355,1.0617,3.84196,0.48308,0.71629,1.37472,0.0011288,0.0011288,0.0011288
46,230.084,0.93256,4.55184,0.56425,0.79793,1.30301,0.94354,0.94737,0.96627,0.67488,0.78393,0.78947,0.76763,0.32726,1.20431,3.8399,0.4839,0.73127,1.50254,0.001109,0.001109,0.001109
47,234.042,0.86118,4.83124,0.56728,0.76652,1.27618,0.97206,0.91565,0.95723,0.67776,0.78174,0.71053,0.60506,0.26312,1.10541,4.02936,0.47863,0.77166,1.43651,0.0010892,0.0010892,0.0010892
48,237.968,0.91708,4.6229,0.56591,0.76527,1.29393,0.97053,0.8666,0.95172,0.63855,0.85293,0.76306,0.72025,0.31021,1.15362,3.84678,0.48268,0.83018,1.42341,0.0010694,0.0010694,0.0010694
